1,0.0,1742285627
2,0.0,1742285628
3,0.0,1742285630
4,1.62,1742285631
5,0.0,1742285634
6,0.0,1742285636
7,0.0,1742285639
8,0.0,1742285642
9,0.0,1742285646
10,0.0,1742285649
11,0.0,1742285653
12,0.0,1742285658
13,1.62,1742285662
14,0.0,1742285667
15,0.0,1742285672
1,0.0,1742291405
2,0.0,1742291410
1,0.0,1742319029
2,0.0,1742319034
3,0.0,1742319040
1,6.51,1742319078
2,17.52,1742319083
3,3.25,1742319089
4,7.28,1742319094
5,3.25,1742319100
6,3.25,1742319105
7,16.27,1742319111
8,9.2,1742319116
9,9.2,1742319122
10,3.25,1742319127
11,4.6,1742319133
12,3.25,1742319138
13,7.28,1742319144
1,6.86,1742319150
